student_id,name,course,grade
1,Aidos,Math,88
1,Aidos,Physics,91
2,Aigerim,Math,95
2,Aigerim,Physics,89
3,Nursultan,Math,76
3,Nursultan,Physics,82
4,Dana,Math,92
4,Dana,Physics,96
5,Alibek,Math,84
5,Alibek,Physics,78
6,Malika,Math,90
6,Malika,Physics,94
7,Erlan,Math,73
7,Erlan,Physics,80
8,Aruzhan,Math,97
8,Aruzhan,Physics,93
9,Bekzat,Math,68
9,Bekzat,Physics,75
10,Kamila,Math,86
10,Kamila,Physics,88
11,Askar,Math,81
11,Askar,Physics,79
12,Zhanar,Math,94
12,Zhanar,Physics,90
13,Meirambek,Math,72
13,Meirambek,Physics,77
14,Saule,Math,89
14,Saule,Physics,92
15,Temirlan,Math,85
15,Temirlan,Physics,87
16,Akbota,Math,98
16,Akbota,Physics,95
17,Dias,Math,70
17,Dias,Physics,74
18,Meruyert,Math,91
18,Meruyert,Physics,86
19,Olzhas,Math,83
19,Olzhas,Physics,80
20,Amina,Math,96
20,Amina,Physics,99
